Designator,Mid X,Mid Y,Rotation,Layer
C1,146.5,-94.25,90.0,top
C10,155.0,-92.2625,90.0,top
C11,150.631389,-92.2625,90.0,top
C12,154.0,-105.8,270.0,top
C13,145.5,-84.5,180.0,top
C14,147.75,-108.275,0.0,top
C15,162.0,-83.97,0.0,top
C16,159.5,-77.6375,90.0,top
C17,134.1875,-92.92,0.0,top
C18,128.06875,-106.5,90.0,top
C19,136.0125,-96.0,180.0,top
C2,158.0,-92.2625,90.0,top
C20,127.9,-88.0,180.0,top
C21,127.9,-89.5,180.0,top
C22,127.9,-85.0,0.0,top
C23,131.4,-85.415,180.0,top
C24,130.5375,-82.25,180.0,top
C25,137.55,-92.92,180.0,top
C3,157.25,-95.25,0.0,top
C4,152.5,-105.8,270.0,top
C5,152.101389,-92.2625,90.0,top
C6,159.3625,-100.0,0.0,top
C7,144.75,-100.0,180.0,top
C8,156.5,-92.2625,90.0,top
C9,157.0,-105.8,270.0,top
D1,153.25,-84.75,270.0,top
D2,158.5,-85.95,270.0,top
D3,141.65,-94.5,180.0,top
D4,127.5375,-82.25,0.0,top
D5,140.25,-108.0,90.0,top
D6,141.75,-108.0,90.0,top
D7,143.25,-108.0,90.0,top
J1,153.25,-78.75,180.0,top
J2,123.2,-82.245,0.0,top
J3,139.6325,-78.5,90.0,top
J5,166.08,-96.75,0.0,top
J7,135.376389,-107.635,90.0,top
R1,152.5,-88.5,270.0,top
R10,137.55,-94.5,180.0,top
R11,127.9,-86.5,0.0,top
R12,127.9,-91.0,0.0,top
R13,134.0375,-82.99,0.0,top
R14,134.0375,-81.5,0.0,top
R15,142.35,-92.5,180.0,top
R16,134.9,-85.415,0.0,top
R17,151.0,-105.8,270.0,top
R18,140.25,-104.65,90.0,top
R19,141.75,-104.65,90.0,top
R2,154.0,-88.5,90.0,top
R20,143.25,-104.65,90.0,top
R21,136.381389,-102.885,0.0,top
R22,136.381389,-104.5,0.0,top
R3,155.5,-105.8,90.0,top
R4,139.6375,-84.755,180.0,top
R5,139.6375,-83.255,0.0,top
R6,155.25,-85.2,270.0,top
R7,151.25,-85.2,270.0,top
R8,132.25,-104.5,0.0,top
R9,134.1875,-94.5,0.0,top
U1,151.25,-99.0,90.0,top
U2,144.25,-88.25,270.0,top
U3,164.75,-79.5,180.0,top
U4,126.4,-98.0,270.0,top
U6,134.425,-89.3,270.0,top
Y1,147.3,-105.725,0.0,top
Y2,125.31875,-106.75,90.0,top
