"Quantity","Value","Cost","URL"
"17","Capacitor 100n","0.068","https://www.aliexpress.com/item/1005002782324319.html"
"3","Capacitor 1u","0.012","https://www.aliexpress.com/item/1005002782324319.html"
"2","Capacitor 10n","0.008","https://www.aliexpress.com/item/1005002782324319.html"
"2","Capacitor 10u","0.008","https://www.aliexpress.com/item/1005002782324319.html"
"1","Capacitor 4.7n","0.004","https://www.aliexpress.com/item/1005002782324319.html"
"2","TVS Diode RCLAMP0502BA","2.50","https://www.digikey.ca/en/products/detail/semtech-corporation/RCLAMP0502BATCT/2603604?s=N4IgTCBcDaICoDUDKACAIgSwPYBMCmKASgMIAyAggLIAKADAKy1gBC5IAugL5A"
"1","SMF5V0A","0.25","https://www.digikey.ca/en/products/detail/vishay-general-semiconductor-diodes-division/SMF5V0A-E3-08/1680585"
"1","1N4148W","0.014","https://www.aliexpress.com/item/4000685043735.html"
"3","LED","0.0525","https://www.aliexpress.com/item/1005006211269173.html"
"1","USB_C_Receptacle_USB2.0_16P","0.1875","https://www.aliexpress.com/item/1005008515699009.html"
"22","2.54mm Pins Male","0.20295","https://www.aliexpress.com/item/4001198421663.html"
"2","Resistor 27R","0.01","https://www.aliexpress.com/item/1005007902452631.html"
"3","Resistor 1K","0.015","https://www.aliexpress.com/item/1005007902452631.html"
"5","Resistor DNF","0.025","https://www.aliexpress.com/item/1005007902452631.html"
"2","Resistor 60R","0.01","https://www.aliexpress.com/item/1005007902452631.html"
"5","Resistor 10K","0.025","https://www.aliexpress.com/item/1005007902452631.html"
"3","Resistor 220R","0.015","https://www.aliexpress.com/item/1005007902452631.html"
"2","Resistor 5.1K","0.01","https://www.aliexpress.com/item/1005007902452631.html"
"1","RP2040","1.29","https://www.canakit.com/raspberry-pi-rp2040.html?cid=cad&src=raspberrypi"
"1","W25Q128JVS","","JLCPCB Assembly"
"1","NCP1117-3.3_SOT223","","JLCPCB Assembly"
"1","MCP2515-xSO","","JLCPCB Assembly"
"1","TCAN337G","","JLCPCB Assembly"
"1","ASE-12MHz","1.56","https://www.mouser.ca/ProductDetail/ABRACON/ASE-12.000MHZ-ET?qs=uDmhV2jwPRcj2BLg3gv24Q%3D%3D"
"1","ASE-16MHz","1.53","https://www.mouser.ca/ProductDetail/ABRACON/ASE-16.000MHZ-LC-T?qs=gt1LBUVyoHnfDWzQTg2whA%3D%3D"
"1","PCB","75","JLCPCB Assembly"
"2","Heat set insert","0.10","https://www.aliexpress.com/item/1005007653131713.html"
"2","M2","0.08","https://www.aliexpress.com/item/32810872544.html"
"1","Case","5","Printing Legion"
